,cancer_type,cellosaurus_id,standard_drug_name,dataset,info,IC50,IC90,EC50,Einf,AUC
0,kidney,769-P,(5Z)-7-Oxozeaenol,All,GDSC1,0.613151,2.93017,0.462779,0.928822,34.746
1,kidney,769-P,16-beta-bromoandrosterone,All,CTRP2,7.55542,9.36127,4.61644,0.0544538,0.306023
2,kidney,769-P,"1S,3R-RSL-3",All,CTRP2,-2.45531,-1.98963,-2.45531,1.0,49.9641
3,kidney,769-P,3-Cl-AHPC,All,CTRP2,-0.448028,3.103,-0.505194,0.982316,43.3904
4,kidney,769-P,5-Fluorouracil,All,"GDSC2,GDSC1",3.86565,9.0721,1.95556,0.617445,20.9939
5,kidney,769-P,968,All,CTRP2,8.80691,10.5608,5.47868,0.030446,0.164422
6,kidney,769-P,A-83-01,All,GDSC1,5.95969,10.8169,2.31705,0.322816,10.4207
7,kidney,769-P,AA-COCF3,All,CTRP2,6.16986,7.59128,6.10532,0.950158,12.9123
8,kidney,769-P,ABT737,All,"CTRP2,GDSC2",4.47286,8.94135,2.69896,0.589571,12.0319
9,kidney,769-P,AC55649,All,CTRP2,6.94457,8.6522,4.4727,0.0798077,0.43064
10,kidney,769-P,Acetalax,All,GDSC2,5.77126,8.39921,3.81796,0.326799,4.74803
11,kidney,769-P,ACY-1215,All,GDSC1,2.58587,5.65091,1.95118,0.77635,25.9204
12,kidney,769-P,AEW541,All,CCLE,3.27125,9.25963,0.0932608,0.475139,14.7947
13,kidney,769-P,Afatinib,All,"CTRP2,GDSC2,GDSC1",0.627608,8.7893,-0.79152,0.811267,39.3867
14,kidney,769-P,Afuresertib,All,GDSC2,3.51778,5.87827,2.20309,0.454549,6.53382
15,kidney,769-P,AGI-5198,All,GDSC2,5.40421,6.89947,2.83445,0.0447946,0.31297
16,kidney,769-P,AGI-6780,All,"GDSC2,GDSC1",4.66404,6.61525,2.61347,0.180742,1.44075
17,kidney,769-P,AGK-2,All,CTRP2,7.34813,8.93398,4.52943,0.0394725,0.22403
18,kidney,769-P,AICA Ribonucleotide,All,GDSC1,11.7089,16.6074,8.73776,0.417437,14.511
19,kidney,769-P,AKT inhibitor VIII,All,GDSC1,3.21052,6.11657,1.85278,0.527498,9.90804
20,kidney,769-P,Alectinib,All,GDSC1,5.58514,7.29106,1.81194,0.0153838,0.150454
21,kidney,769-P,Alisertib,All,"CTRP2,GDSC2,GDSC1",10.3771,21.0212,1.78546,0.290208,10.473
22,kidney,769-P,alisertib:navitoclax (2:1 mol/mol),All,CTRP2,1.63268,4.32844,1.54274,0.963363,27.001
23,kidney,769-P,Alpelisib,All,GDSC2,4.90042,12.0904,-0.616718,0.312605,11.6062
24,kidney,769-P,AM-580,All,CTRP2,10.9718,12.1599,8.66739,0.0277956,0.101506
25,kidney,769-P,AMG-319,All,GDSC2,7.89367,18.874,-1.05431,0.286012,14.2317
26,kidney,769-P,Amuvatinib,All,GDSC1,9.38823,24.5899,-1.96418,0.324695,21.7686
27,kidney,769-P,apicidin,All,CTRP2,0.326485,2.72516,0.297874,0.986896,31.5267
28,kidney,769-P,Apitolisib,All,GDSC1,-1.28053,2.92734,-1.47569,0.94909,65.261
29,kidney,769-P,AR-42,All,GDSC1,-2.10507,0.378397,-2.14791,0.981054,55.4315
30,kidney,769-P,Ara-G,All,GDSC1,6.02403,9.43395,3.00658,0.250345,5.55233
31,kidney,769-P,ARRY-520,All,GDSC1,-6.20394,16.2226,-14.7952,0.602341,50.5759
32,kidney,769-P,AS601245,All,GDSC1,1.74302,2.66454,1.7031,0.952443,15.9676
33,kidney,769-P,AS605240,All,GDSC1,1.33459,5.82113,0.557559,0.811993,36.8752
34,kidney,769-P,ASN 05257430,All,CTRP2,8.01926,9.9481,4.58327,0.0391374,0.233063
35,kidney,769-P,AST-1306,All,GDSC1,-0.0326577,4.22369,-0.403891,0.904473,53.4307
36,kidney,769-P,AT-7519,All,GDSC1,0.622699,2.818,0.500873,0.939109,34.8887
37,kidney,769-P,AT13148,All,GDSC2,3.4262,12.0247,-0.942884,0.493339,23.8132
38,kidney,769-P,AT7867,All,"CTRP2,GDSC1",2.786,7.14796,1.48829,0.684317,17.1862
39,kidney,769-P,austocystin D,All,CTRP2,3.16104,5.91207,2.74919,0.836997,15.103
40,kidney,769-P,Avagacestat,All,GDSC1,5.7616,7.61316,2.74812,0.054447,0.522199
41,kidney,769-P,Axitinib,All,GDSC1,3.35514,5.2437,0.376919,0.0606496,0.672151
42,kidney,769-P,AZ-3146,All,CTRP2,8.03307,9.5941,5.53065,0.0573699,0.279641
43,kidney,769-P,AZ20,All,GDSC1,-3.13137,-0.93181,-3.13454,0.998416,78.2667
44,kidney,769-P,AZ6102,All,GDSC2,4.82416,18.5624,-3.08545,0.440223,27.1055
45,kidney,769-P,AZ960,All,GDSC2,1.3765,5.45297,0.391092,0.740504,24.8705
46,kidney,769-P,azacitidine,All,CTRP2,7.35982,9.19106,5.38487,0.171034,1.04151
47,kidney,769-P,AZD-7545,All,CTRP2,8.69112,14.0008,4.13642,0.263675,4.92799
48,kidney,769-P,AZD1208,All,"GDSC2,GDSC1",5.68243,7.2879,2.80116,0.0380319,0.284307
49,kidney,769-P,AZD1332,All,"GDSC2,GDSC1",3.11879,8.37211,0.625614,0.521229,17.2704
50,kidney,769-P,AZD1480,All,GDSC1,2.14481,5.19701,0.0199516,0.356088,7.61322
51,kidney,769-P,AZD2014,All,"GDSC2,GDSC1",2.0158,7.13655,0.240614,0.636554,23.1083
52,kidney,769-P,AZD3514,All,GDSC1,3.5352,6.8896,1.71256,0.465132,11.8533
53,kidney,769-P,AZD3759,All,GDSC2,1.75695,8.94673,-3.10711,0.368901,14.2138
54,kidney,769-P,AZD4547,All,"CTRP2,GDSC2,GDSC1",5.16797,6.39725,4.97275,0.827288,6.13704
55,kidney,769-P,AZD4877,All,GDSC1,-7.18301,-1.36797,-8.7044,0.720234,38.2349
56,kidney,769-P,AZD5153,All,GDSC2,-0.891957,8.10978,-3.10196,0.736637,45.8221
57,kidney,769-P,AZD5363,All,GDSC2,4.45113,7.88963,1.89679,0.327049,6.20708
58,kidney,769-P,AZD5438,All,"GDSC2,GDSC1",1.02983,4.81175,0.300018,0.791116,26.8496
59,kidney,769-P,AZD5582,All,"GDSC2,GDSC1",3.62529,5.15369,2.64493,0.392668,3.48102
60,kidney,769-P,AZD5991,All,GDSC2,5.93717,7.42605,2.84513,0.0206445,0.141852
61,kidney,769-P,AZD6094,All,GDSC1,3.66668,6.05646,0.506814,0.103788,1.48876
62,kidney,769-P,AZD6482,All,"CTRP2,GDSC1",7.37648,18.2769,0.999718,0.433273,17.5649
63,kidney,769-P,AZD6738,All,"GDSC2,GDSC1",0.331487,3.23686,0.0812081,0.905643,31.2567
64,kidney,769-P,AZD7762,All,"CTRP2,GDSC2,GDSC1",-2.08696,0.711043,-2.09125,0.998317,54.1484
65,kidney,769-P,AZD7969,All,GDSC1,1.18698,3.48149,0.946543,0.885383,28.2285
66,kidney,769-P,AZD8055,All,"CTRP2,GDSC1",1.07397,10.402,-0.974746,0.763287,38.2136
67,kidney,769-P,AZD8186,All,"GDSC2,GDSC1",5.32057,17.432,-2.14459,0.410333,23.1936
68,kidney,769-P,AZD8835,All,GDSC1,4.27055,7.31387,2.0505,0.335171,7.04074
69,kidney,769-P,AZD8931,All,GDSC1,-0.803598,5.31594,-1.84745,0.814765,50.966
70,kidney,769-P,B02,All,CTRP2,8.24138,10.0548,5.44402,0.0652519,0.398512
71,kidney,769-P,BAM7,All,GDSC1,4.53001,5.71398,3.79079,0.404641,3.49301
72,kidney,769-P,barasertib,All,CTRP2,12.2299,21.4985,2.65986,0.187499,5.6511
73,kidney,769-P,bardoxolone methyl,All,CTRP2,-0.0171666,4.57172,-0.23472,0.947963,40.9362
74,kidney,769-P,Bax channel blocker,All,CTRP2,4.54879,4.97716,4.52029,0.927039,3.40019
75,kidney,769-P,BAY-61-3606,All,GDSC1,0.0964479,2.33683,-0.0154264,0.945195,36.927
76,kidney,769-P,BDP-00009066,All,GDSC2,1.26662,4.00558,0.861009,0.838728,22.8033
77,kidney,769-P,BEC,All,CTRP2,10.1955,12.2852,7.36766,0.097294,0.647934
78,kidney,769-P,Belinostat,All,GDSC1,-1.10185,0.924759,-1.10699,0.997214,67.1443
79,kidney,769-P,bendamustine,All,CTRP2,8.3913,9.92978,5.54691,0.0338355,0.160567
80,kidney,769-P,Bexarotene,All,"CTRP2,GDSC1",7.5677,9.1003,4.55161,0.0261455,0.1319
81,kidney,769-P,BI-2536,All,CTRP2,-1.46215,3.16067,-1.64495,0.956585,43.7256
82,kidney,769-P,BIBF-1120,All,GDSC1,2.06881,3.95799,1.95199,0.93217,28.9054
83,kidney,769-P,BIBR-1532,All,"CTRP2,GDSC2",14.4892,26.3953,3.54881,0.234448,8.9515
84,kidney,769-P,Bicalutamide,All,GDSC1,5.37862,7.37509,2.64605,0.0941922,0.796346
85,kidney,769-P,birinapant,All,CTRP2,8.34353,9.91616,5.53402,0.0387067,0.188234
86,kidney,769-P,BIX-01294,All,CTRP2,4.38132,5.12443,4.29742,0.876595,4.71427
87,kidney,769-P,BIX02189,All,GDSC1,4.79253,10.8563,1.43815,0.457472,19.5291
88,kidney,769-P,blebbistatin,All,CTRP2,8.56436,10.8241,6.20065,0.182524,1.38617
89,kidney,769-P,Bleomycin,All,GDSC1,-3.23511,6.1248,-4.11291,0.897332,76.0212
