,cellosaurus_id,standard_drug_name,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
0,A-172,(5Z)-7-Oxozeaenol,All,GDSC1,5,0.0390625,10.0,-0.0193896,3.32592,-0.325642,0.899763,42.9045,0.0190466
1,A-172,16-beta-bromoandrosterone,All,CTRP2,16,0.0011,37.0,7.45039,10.2419,4.22436,0.14631,1.33646,0.0436827
2,A-172,"1S,3R-RSL-3",All,CTRP2,14,0.001,17.0,-0.870246,1.31374,-0.883714,0.993225,35.3254,0.0786853
3,A-172,3-Cl-AHPC,All,CTRP2,16,0.002,66.0,2.81997,5.47063,2.6639,0.935404,22.0178,0.0894926
4,A-172,5-Fluorouracil,All,"GDSC2,GDSC1",22,0.0200105,32.0,3.63077,8.11482,2.19342,0.661713,20.58,0.0898889
5,A-172,A-804598,All,CTRP2,16,0.002,66.0,7.87302,10.0953,5.26366,0.140875,1.0231,0.0620894
6,A-172,A-83-01,All,GDSC1,9,0.078125,20.0,6.50057,12.6011,1.82687,0.313313,12.1686,0.0592583
7,A-172,AA-COCF3,All,CTRP2,11,0.001,1.0,2.33448,4.06177,-0.564819,0.0488182,0.394806,0.0304209
8,A-172,ABT737,All,"CTRP2,GDSC2",23,0.0011,37.0,7.47727,9.03804,4.70265,0.0394451,0.190101,0.119037
9,A-172,AC55649,All,CTRP2,16,0.001,33.0,7.16701,9.07866,4.40421,0.0801944,0.484527,0.0372301
10,A-172,Acetalax,All,GDSC2,7,0.0300158,30.0,6.47839,8.55992,4.16411,0.159918,1.65655,0.0458823
11,A-172,ACY-1215,All,GDSC1,9,0.078125,20.0,3.31025,4.51965,3.15816,0.862713,13.662,0.0772982
12,A-172,AEW541,All,CCLE,8,0.0025,8.0,4.98478,10.4457,0.772926,0.310328,7.84198,0.0289236
13,A-172,Afatinib,All,"CTRP2,GDSC2,GDSC1",44,0.00195312,66.0,2.43864,5.43327,2.25776,0.93374,24.5865,0.117096
14,A-172,Afuresertib,All,GDSC2,7,0.0100053,10.0,6.47084,19.102,-2.12269,0.366384,20.7124,0.0317601
15,A-172,AGI-5198,All,GDSC2,7,0.0100053,10.0,5.15277,9.03894,1.80686,0.262087,5.37188,0.10049
16,A-172,AGI-6780,All,"GDSC2,GDSC1",16,0.002,10.0,4.42603,6.71366,2.434,0.257221,2.51951,0.0700122
17,A-172,AGK-2,All,CTRP2,16,0.001,33.0,11.9612,23.6219,0.690038,0.213603,7.93269,0.0417162
18,A-172,AICA Ribonucleotide,All,GDSC1,9,7.8125,2000.0,12.783,14.5227,10.3781,0.091524,0.949958,0.266777
19,A-172,AKT inhibitor VIII,All,GDSC1,11,0.01,10.24,3.82698,6.85669,1.9811,0.415455,7.39656,0.0913389
20,A-172,Alectinib,All,GDSC1,9,0.02,5.12,4.57754,6.31736,1.7837,0.057033,0.581216,0.0355497
21,A-172,Alisertib,All,"CTRP2,GDSC2,GDSC1",32,0.002,66.0,6.35549,14.8888,1.8787,0.479985,16.4228,0.0753356
22,A-172,alisertib:navitoclax (2:1 mol/mol),All,CTRP2,16,0.0015,50.0,5.05212,15.2208,0.353766,0.531922,22.0499,0.040768
