,cellosaurus_id,standard_drug_name,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
0,ACC-MESO-1,16-beta-bromoandrosterone,All,CTRP2,16,0.0011,37.0,7.27801,8.53909,4.80387,0.0264909,0.102471,0.0587135
1,ACC-MESO-1,"1S,3R-RSL-3",All,CTRP2,16,0.001,33.0,-0.58982,1.8254,-0.602806,0.994093,37.5779,0.0791334
2,ACC-MESO-1,3-Cl-AHPC,All,CTRP2,16,0.002,66.0,5.80506,9.44374,4.14137,0.536067,8.47185,0.0914972
3,ACC-MESO-1,968,All,CTRP2,15,0.002,66.0,8.02699,9.25864,5.64775,0.0282816,0.107139,0.0807722
4,ACC-MESO-1,AA-COCF3,All,CTRP2,16,0.0081,270.0,5.3937,5.96747,5.39368,0.999965,17.8581,0.0352301
5,ACC-MESO-1,ABT737,All,CTRP2,16,0.0011,37.0,5.51494,10.6178,2.75546,0.467162,9.70164,0.0726318
6,ACC-MESO-1,AC55649,All,CTRP2,16,0.001,33.0,6.61817,8.3103,4.46224,0.114706,0.625098,0.0450976
7,ACC-MESO-1,Afatinib,All,CTRP2,15,0.002,66.0,3.28039,4.69177,3.26324,0.986652,18.4717,0.0443185
8,ACC-MESO-1,AGK-2,All,CTRP2,16,0.001,33.0,7.05777,8.32398,4.63626,0.0294896,0.11492,0.0817125
9,ACC-MESO-1,Alisertib,All,CTRP2,16,0.002,66.0,4.94994,7.2555,4.39021,0.739433,9.40164,0.0598507
10,ACC-MESO-1,alisertib:navitoclax (2:1 mol/mol),All,CTRP2,16,0.0015,50.0,1.19688,3.62145,1.15833,0.982536,29.7267,0.0447119
11,ACC-MESO-1,AM-580,All,CTRP2,16,0.016,530.0,7.51729,8.03129,7.51662,0.998574,10.2087,0.165073
12,ACC-MESO-1,apicidin,All,CTRP2,16,0.001,33.0,1.25885,3.78909,1.17589,0.963991,25.5007,0.0774027
13,ACC-MESO-1,ASN 05257430,All,CTRP2,16,0.0011,37.0,7.22289,8.3868,4.8364,0.0218603,0.0778589,0.0433679
14,ACC-MESO-1,AT7867,All,CTRP2,16,0.002,66.0,4.91438,6.13909,4.78407,0.883637,7.98772,0.0502968
15,ACC-MESO-1,austocystin D,All,CTRP2,16,0.0011,37.0,7.2962,8.71199,4.7503,0.0377428,0.164856,0.0608251
16,ACC-MESO-1,Axitinib,All,CTRP2,16,0.002,66.0,5.16359,8.2379,4.14853,0.652379,9.84914,0.0386426
17,ACC-MESO-1,AZ-3146,All,CTRP2,16,0.002,66.0,7.74518,8.84042,5.69073,0.0319211,0.107734,0.0743176
18,ACC-MESO-1,azacitidine,All,CTRP2,16,0.002,66.0,7.79449,9.17043,5.59148,0.0576118,0.247557,0.0638731
19,ACC-MESO-1,AZD-7545,All,CTRP2,16,0.0023,74.0,2.62504,3.19534,2.62504,0.999999,23.9382,0.0762628
20,ACC-MESO-1,AZD4547,All,CTRP2,16,0.002,66.0,3.56022,7.81212,2.70715,0.783084,19.6823,0.0794405
21,ACC-MESO-1,AZD6482,All,CTRP2,16,0.002,66.0,10.0271,24.3453,-0.0370367,0.351793,16.5293,0.0468156
22,ACC-MESO-1,AZD7762,All,CTRP2,16,0.002,66.0,1.07319,3.72925,1.03425,0.983896,33.2476,0.0720606
23,ACC-MESO-1,AZD8055,All,CTRP2,16,0.002,66.0,3.76194,17.3643,-1.61455,0.591142,31.921,0.0660054
24,ACC-MESO-1,B02,All,CTRP2,16,0.0041,130.0,5.84345,7.18213,5.68886,0.873802,8.43404,0.0634501
25,ACC-MESO-1,barasertib,All,CTRP2,16,0.002,66.0,7.45146,9.04331,5.49206,0.125409,0.646762,0.0349983
26,ACC-MESO-1,bardoxolone methyl,All,CTRP2,16,0.002,66.0,-0.379021,0.439134,-0.379021,1.0,42.7937,0.0338942
27,ACC-MESO-1,Bax channel blocker,All,CTRP2,12,0.016,33.0,4.49545,4.9995,4.45695,0.916287,5.16794,0.0500802
28,ACC-MESO-1,BEC,All,CTRP2,16,0.0081,270.0,9.63038,12.0513,7.1862,0.196231,1.60191,0.0422368
29,ACC-MESO-1,bendamustine,All,CTRP2,16,0.002,66.0,7.91834,9.22206,5.62064,0.0407674,0.16453,0.074168
30,ACC-MESO-1,betulinic acid,All,CTRP2,16,0.002,66.0,7.53764,8.62528,5.68931,0.0466805,0.157652,0.0847067
31,ACC-MESO-1,Bexarotene,All,CTRP2,16,0.002,66.0,7.54084,9.06297,5.52538,0.103386,0.503658,0.0535164
32,ACC-MESO-1,BI-2536,All,CTRP2,16,0.001,33.0,2.12516,6.0095,1.55117,0.839067,21.5023,0.0591067
33,ACC-MESO-1,BIBR-1532,All,CTRP2,15,0.0081,270.0,8.45629,12.8853,5.98104,0.453074,8.08941,0.0687913
34,ACC-MESO-1,birinapant,All,CTRP2,16,0.002,66.0,6.94974,9.15146,5.16499,0.288332,2.27072,0.0530869
35,ACC-MESO-1,BIX-01294,All,CTRP2,12,0.016,33.0,4.01145,6.10883,3.51751,0.746894,11.9116,0.0344408
36,ACC-MESO-1,blebbistatin,All,CTRP2,16,0.0041,130.0,8.79847,10.1013,6.59674,0.0476299,0.193517,0.0573377
37,ACC-MESO-1,bleomycin A2,All,CTRP2,16,0.002,66.0,7.13523,11.8787,3.97885,0.376298,6.7814,0.0371321
38,ACC-MESO-1,BMS-195614,All,CTRP2,16,0.002,66.0,6.98627,10.3527,4.61573,0.350977,4.41217,0.0578113
39,ACC-MESO-1,BMS-270394,All,CTRP2,16,0.002,66.0,7.44242,9.62456,5.24137,0.196598,1.44833,0.0410012
40,ACC-MESO-1,BMS-345541,All,CTRP2,16,0.002,66.0,5.50991,8.58588,4.30472,0.594305,8.41369,0.0487573
41,ACC-MESO-1,BMS-536924,All,CTRP2,15,0.0011,37.0,3.35842,5.54683,3.0881,0.865121,13.2689,0.0875512
42,ACC-MESO-1,BMS-754807,All,CTRP2,14,0.001,33.0,3.98731,6.47118,3.33224,0.718107,9.5363,0.0736738
43,ACC-MESO-1,Bortezomib,All,CTRP2,15,4.1e-06,0.13,-5.10907,-3.93563,-5.12727,0.982962,14.5449,0.0416912
44,ACC-MESO-1,Bosutinib,All,CTRP2,16,0.002,66.0,2.84528,5.12887,2.75373,0.955981,21.6246,0.0547339
45,ACC-MESO-1,BRD-A02303741,All,CTRP2,16,0.0017,55.0,6.75397,8.19272,5.25725,0.184623,0.892088,0.0785983
46,ACC-MESO-1,BRD-A02303741:carboplatin (1:1 mol/mol),All,CTRP2,16,0.002,66.0,8.05157,9.17793,5.68398,0.0195423,0.067402,0.0470426
47,ACC-MESO-1,BRD-A02303741:navitoclax (2:1 mol/mol),All,CTRP2,16,0.0015,50.0,3.34256,6.19855,2.96165,0.854517,16.6764,0.101923
48,ACC-MESO-1,BRD-A71883111,All,CTRP2,16,0.001,33.0,6.46328,10.4275,3.42364,0.312936,4.51008,0.0706573
49,ACC-MESO-1,BRD-A94377914,All,CTRP2,16,0.001,33.0,5.17112,6.92297,4.20851,0.460348,3.27644,0.0607532
50,ACC-MESO-1,BRD-K02251932,All,CTRP2,16,0.002,66.0,7.64718,9.23651,5.50461,0.0983394,0.498847,0.0462373
51,ACC-MESO-1,BRD-K02492147,All,CTRP2,16,0.002,66.0,8.60997,10.14,5.55303,0.024499,0.115071,0.0565513
52,ACC-MESO-1,BRD-K03536150,All,CTRP2,16,0.002,66.0,7.47685,8.93956,5.54534,0.104165,0.487853,0.0902105
53,ACC-MESO-1,BRD-K03911514,All,CTRP2,15,0.002,66.0,7.27101,8.63396,5.57292,0.121592,0.535762,0.0518186
54,ACC-MESO-1,BRD-K04800985,All,CTRP2,16,0.002,66.0,8.47951,9.91701,5.58305,0.0236128,0.104154,0.029708
55,ACC-MESO-1,BRD-K07442505,All,CTRP2,16,0.002,66.0,7.932,9.33403,5.58575,0.0493501,0.215143,0.0985784
56,ACC-MESO-1,BRD-K09587429,All,CTRP2,16,0.002,66.0,7.98203,9.26829,5.62803,0.0352332,0.13989,0.0434281
57,ACC-MESO-1,BRD-K11533227,All,CTRP2,16,0.002,66.0,8.02081,9.34953,5.61383,0.0366749,0.150532,0.0887961
58,ACC-MESO-1,BRD-K13185470,All,CTRP2,16,0.002,66.0,8.15823,9.52904,5.6015,0.0326672,0.138046,0.0636585
59,ACC-MESO-1,BRD-K13999467,All,CTRP2,16,0.002,66.0,6.69036,9.22073,4.95707,0.363334,3.4641,0.0486866
60,ACC-MESO-1,BRD-K14844214,All,CTRP2,16,0.002,66.0,6.90567,8.27133,5.54033,0.200093,0.924471,0.0719395
61,ACC-MESO-1,BRD-K16130065,All,CTRP2,16,0.002,66.0,7.77984,9.0021,5.64666,0.042299,0.160171,0.063896
62,ACC-MESO-1,BRD-K16147474,All,CTRP2,16,0.002,66.0,7.71937,9.22781,5.53924,0.0801873,0.382294,0.0485412
63,ACC-MESO-1,BRD-K17060750,All,CTRP2,16,0.002,66.0,7.02926,8.60258,5.46286,0.201747,1.07492,0.0792405
64,ACC-MESO-1,BRD-K19103580,All,CTRP2,15,0.002,66.0,6.68578,9.52839,4.8037,0.378537,4.09984,0.0503555
65,ACC-MESO-1,BRD-K20514654,All,CTRP2,14,0.002,66.0,7.03096,9.21264,5.18751,0.270202,2.08365,0.043988
66,ACC-MESO-1,BRD-K24690302,All,CTRP2,16,0.002,66.0,8.14784,9.35805,5.6566,0.0214794,0.0796766,0.0933927
67,ACC-MESO-1,BRD-K26531177,All,CTRP2,16,0.01,330.0,7.17612,8.24985,7.09727,0.9195,8.20253,0.100986
68,ACC-MESO-1,BRD-K27188169,All,CTRP2,16,0.002,66.0,7.02568,8.7761,5.38371,0.225871,1.35877,0.0515488
69,ACC-MESO-1,BRD-K27188169:navitoclax (2:1 mol/mol),All,CTRP2,16,0.0015,50.0,5.63158,6.41831,5.24635,0.508572,1.69306,0.107617
70,ACC-MESO-1,BRD-K27224038,All,CTRP2,16,0.002,66.0,7.83177,9.01762,5.66055,0.0351687,0.128728,0.0253052
71,ACC-MESO-1,BRD-K27986637,All,CTRP2,16,0.002,66.0,8.04739,9.32162,5.63332,0.0306533,0.120284,0.0687852
72,ACC-MESO-1,BRD-K28456706,All,CTRP2,16,0.002,66.0,7.20436,9.10316,5.33929,0.207137,1.3363,0.0773034
73,ACC-MESO-1,BRD-K29086754,All,CTRP2,15,0.002,66.0,8.16973,9.94901,5.45427,0.0675735,0.377453,0.06292
74,ACC-MESO-1,BRD-K29313308,All,CTRP2,16,0.002,66.0,6.9611,8.65527,5.40065,0.233455,1.3657,0.0543596
75,ACC-MESO-1,BRD-K30019337,All,CTRP2,16,0.002,66.0,8.05841,9.31746,5.63875,0.0288948,0.111931,0.056821
