,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
0,3-Cl-AHPC,CAS-1,All,CTRP2,16,0.002,66.0,6.99896,21.7334,-1.01948,0.464473,23.9484,0.0833191
1,3-Cl-AHPC,KPL-1,All,CTRP2,16,0.002,66.0,6.97396,7.9027,5.7286,0.0998244,0.296147,0.109015
2,3-Cl-AHPC,MKN1,All,CTRP2,16,0.002,66.0,4.77124,6.78375,4.40099,0.800594,9.83908,0.0476745
3,3-Cl-AHPC,253J-BV,All,CTRP2,16,0.002,66.0,2.78837,8.05127,1.79549,0.795657,25.2222,0.110023
4,3-Cl-AHPC,BFTC-905,All,CTRP2,16,0.002,66.0,1.52047,3.91709,1.48653,0.984443,30.2525,0.151245
5,3-Cl-AHPC,BFTC-909,All,CTRP2,16,0.002,66.0,2.15244,4.06225,2.13291,0.988768,25.9942,0.0989605
6,3-Cl-AHPC,CAL-120,All,CTRP2,16,0.002,66.0,6.3089,8.13669,5.20967,0.421172,3.03009,0.0786306
7,3-Cl-AHPC,CAL-29,All,CTRP2,16,0.002,66.0,1.83552,4.02816,1.80654,0.985481,28.1373,0.0607244
8,3-Cl-AHPC,CAL-62,All,CTRP2,16,0.002,66.0,1.56983,4.72575,1.44772,0.957519,30.2194,0.0617014
9,3-Cl-AHPC,HUCC-T1,All,CTRP2,16,0.002,66.0,1.77833,5.83947,1.44304,0.909546,29.5519,0.0980301
10,3-Cl-AHPC,NMC-G1,All,CTRP2,16,0.002,66.0,6.93944,14.0644,2.75368,0.431431,12.0386,0.0830474
11,3-Cl-AHPC,RPMI-7951,All,CTRP2,16,0.002,66.0,1.64576,3.43009,1.63858,0.995577,29.3283,0.114726
12,3-Cl-AHPC,253J,All,CTRP2,16,0.002,66.0,1.67519,3.41559,1.66884,0.995994,29.1295,0.0707808
13,3-Cl-AHPC,ALL-SIL,All,CTRP2,16,0.002,66.0,-0.579484,0.304127,-0.579484,1.0,44.1292,0.0635831
14,3-Cl-AHPC,HDQ-P1,All,CTRP2,16,0.002,66.0,4.41433,7.8498,3.57996,0.73934,14.0035,0.0767798
15,3-Cl-AHPC,SNU-245,All,CTRP2,16,0.002,66.0,4.31306,6.74427,3.92639,0.827028,12.9344,0.114373
16,3-Cl-AHPC,SIMA,All,CTRP2,16,0.002,66.0,-0.0890663,0.983005,-0.0890697,0.999997,40.862,0.119364
17,3-Cl-AHPC,SNU-489,All,CTRP2,16,0.002,66.0,5.22587,7.85024,4.39328,0.664921,8.70033,0.0660178
18,3-Cl-AHPC,SNU-626,All,CTRP2,16,0.002,66.0,3.46991,8.01424,2.52909,0.776396,20.6052,0.0924546
19,3-Cl-AHPC,SNU-738,All,CTRP2,16,0.002,66.0,2.31158,4.8742,2.22023,0.960856,25.1783,0.0840479
20,3-Cl-AHPC,SNU-878,All,CTRP2,16,0.002,66.0,0.852658,3.59447,0.814322,0.98464,34.7136,0.112074
21,3-Cl-AHPC,TUHR4TKB,All,CTRP2,16,0.002,66.0,5.12768,9.87614,3.31959,0.604484,13.3336,0.134672
