,standard_drug_name,cellosaurus_id,dataset,info,n_dosage,min_dosage,max_dosage,IC50,IC90,EC50,Einf,AUC,fitted_mae
0,ABT737,U2OS,All,"CTRP2,GDSC2,CTRP1",31,0.0011,37.0,4.43828,11.582,1.35973,0.559022,17.435,0.183584
1,ABT737,MCF-7,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,6.06236,10.2937,3.33837,0.391052,6.34886,0.103129
2,ABT737,GAMG,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,3.91562,5.3926,3.7435,0.872669,9.21274,0.0620707
3,ABT737,LN-229,All,"CTRP2,GDSC2,CTRP1",29,0.0011,37.0,4.43041,6.06043,4.03685,0.740801,6.66071,0.0685227
4,ABT737,SF295,All,"CTRP2,CTRP1",23,0.0011,37.0,5.47785,6.66448,4.69168,0.378253,1.7067,0.0626939
5,ABT737,HEC-108,All,"CTRP2,CTRP1",23,0.0011,37.0,0.326642,3.5115,0.230099,0.96671,32.788,0.0771898
6,ABT737,HEC-151,All,"CTRP2,CTRP1",23,0.0011,37.0,1.51335,4.44912,1.35504,0.940827,25.119,0.0916267
7,ABT737,HEC-251,All,"CTRP2,CTRP1",22,0.0011,37.0,5.73349,11.3434,2.56751,0.448867,10.0772,0.0423446
8,ABT737,HEC-265,All,"CTRP2,CTRP1",23,0.0011,37.0,3.73821,8.72583,2.11313,0.656591,16.0959,0.0977571
9,ABT737,HEC-59,All,"CTRP2,CTRP1",23,0.0011,37.0,5.37651,6.2716,4.81036,0.398894,1.37884,0.0212771
10,ABT737,HEC-6,All,"CTRP2,CTRP1",22,0.0011,37.0,5.23949,8.75869,3.45981,0.495311,7.28235,0.0429194
11,ABT737,ISHIKAWA(HERAKLIO)02ER-,All,"CTRP2,CTRP1",23,0.0011,37.0,5.19762,7.37414,4.11723,0.502986,4.60541,0.0455291
12,ABT737,JHUEM-2,All,"CTRP2,CTRP1",22,0.0011,37.0,5.71306,10.9003,2.77206,0.446872,9.27487,0.0616545
13,ABT737,KLE,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,1.14013,5.34857,0.729724,0.893271,28.4569,0.181247
14,ABT737,MFE-319,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,5.48343,10.2679,2.90479,0.468586,9.14176,0.0977273
15,ABT737,SNG-M,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,2.88249,6.61283,2.18519,0.79748,18.0227,0.0569737
16,ABT737,AMO1,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,5.52496,6.8071,4.65586,0.368028,1.78077,0.10187
17,ABT737,BL-70,All,"CTRP2,CTRP1",23,0.0011,37.0,3.68804,5.33232,3.51398,0.884223,10.7296,0.0832025
18,ABT737,EJM,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,2.30964,5.92296,1.82474,0.853629,21.0075,0.12962
19,ABT737,GDM-1,All,"GDSC2,CTRP1",15,0.0100053,37.0,-3.91708,-1.34104,-3.91805,0.999584,76.082,0.0250304
20,ABT737,HT,All,"CTRP2,CTRP1",23,0.0011,37.0,5.53796,8.14137,4.00746,0.431128,4.44467,0.0490221
21,ABT737,KMS-11,All,"CTRP2,CTRP1",23,0.0011,37.0,1.09574,6.02287,0.474203,0.862295,29.4515,0.0571315
22,ABT737,KU812,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,1.62329,5.55314,1.19678,0.881328,25.3305,0.0582524
23,ABT737,LPS1,All,"CTRP2,CTRP1",23,0.0011,37.0,4.5897,8.8709,2.83966,0.578855,11.1971,0.0970924
24,ABT737,MC116,All,"CTRP2,CTRP1",23,0.0011,37.0,4.27461,5.48154,4.10382,0.845782,6.82849,0.105164
25,ABT737,MOLM-16,All,"CTRP2,CTRP1",23,0.0011,37.0,1.75827,4.11831,1.67515,0.961324,23.2317,0.0709544
26,ABT737,NOMO-1,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,5.07888,14.098,0.655898,0.507952,18.6449,0.108695
27,ABT737,NU-DUL-1,All,CTRP1,8,0.28906,37.0,-0.612202,1.33481,-0.614684,0.9986,80.213,0.156721
28,ABT737,OCI-AML-3,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,3.95805,5.96211,3.58388,0.797707,9.69258,0.0963541
29,ABT737,OCI-LY10,All,"CTRP2,CTRP1",23,0.0011,37.0,1.10721,5.17342,0.742347,0.901739,28.5192,0.135657
30,ABT737,P3HR-1,All,"CTRP2,CTRP1",23,0.0011,37.0,6.15624,8.89973,4.0812,0.319023,3.1903,0.0960299
31,ABT737,PL21,All,"CTRP2,CTRP1",23,0.0011,37.0,0.290658,3.83647,0.144341,0.954697,33.1869,0.196321
32,ABT737,RPMI-8226,All,"CTRP2,GDSC2,CTRP1",30,0.0011,37.0,-0.752669,1.91475,-0.770418,0.99269,39.7024,0.185858
33,ABT737,SKM-1,All,"CTRP2,CTRP1",23,0.0011,37.0,2.7477,8.43523,1.26579,0.721323,21.8605,0.186787
34,ABT737,SU-DHL-4,All,CTRP1,8,0.28906,37.0,-1.62971,1.41772,-1.64959,0.992833,85.2266,0.0193555
35,ABT737,SU-DHL-5,All,"GDSC2,CTRP1",15,0.0100053,37.0,3.52749,5.42692,3.31019,0.874973,15.1648,0.115606
