,id,standard_drug_name,gene,dataset,cancer_type,pvalue,correlation,provided_pvalue,provided_correlation,n_cell_line,provided_n_cell_line
0,31151002,3-Cl-AHPC,A4GALT,All,pancan,1.74827e-11,0.239691,,,767,
1,31151003,3-Cl-AHPC,AAAS,All,pancan,3.35597e-15,-0.279199,,,767,
2,31151004,3-Cl-AHPC,AADACP1,All,pancan,1.62555e-08,0.202149,,,767,
3,31151005,3-Cl-AHPC,AAMDC,All,pancan,4.91747e-09,0.209228,,,767,
4,31151006,3-Cl-AHPC,AARS2,All,pancan,4.06862e-09,-0.210327,,,767,
5,31151007,3-Cl-AHPC,AARSD1,All,pancan,8.23055e-15,-0.275353,,,767,
6,31151008,3-Cl-AHPC,AASDH,All,pancan,1.53821e-09,-0.215878,,,767,
7,31151009,3-Cl-AHPC,ABCA4,All,pancan,2.61953e-09,0.212859,,,767,
8,31151010,3-Cl-AHPC,ABCA7,All,pancan,5.4487e-09,-0.208631,,,767,
9,31151011,3-Cl-AHPC,ABCB7,All,pancan,4.87832e-17,-0.296573,,,767,
10,31151012,3-Cl-AHPC,ABCB10,All,pancan,4.18402e-15,-0.278259,,,767,
11,31151013,3-Cl-AHPC,ABCC3,All,pancan,1.90419e-25,0.364031,,,767,
12,31151014,3-Cl-AHPC,ABCD2,All,pancan,1.16102e-13,-0.263638,,,767,
13,31151015,3-Cl-AHPC,ABCE1,All,pancan,1.04387e-15,-0.284116,,,767,
14,31151016,3-Cl-AHPC,ABHD4,All,pancan,4.24283e-11,0.235179,,,767,
15,31151017,3-Cl-AHPC,ABHD11,All,pancan,2.1214e-11,0.238714,,,767,
16,31151018,3-Cl-AHPC,ABHD11-AS1,All,pancan,7.36178e-12,0.244005,,,767,
17,31151019,3-Cl-AHPC,ABHD12,All,pancan,1.54085e-18,0.309928,,,767,
18,31151020,3-Cl-AHPC,ABHD17B,All,pancan,4.72854e-15,-0.277736,,,767,
19,31151021,3-Cl-AHPC,ABHD18,All,pancan,7.97187e-19,-0.312399,,,767,
20,31151022,3-Cl-AHPC,ABI3,All,pancan,5.85059e-10,-0.22125,,,767,
21,31151023,3-Cl-AHPC,ABLIM3,All,pancan,3.26492e-34,0.420479,,,767,
