,id,standard_drug_name,gene,dataset,cancer_type,pvalue,effect_size,provided_pvalue,provided_effect_size,n_mut,n_wt,provided_n_mut,provided_n_wt
0,43537870,3-Cl-AHPC,GIMAP1,All,pancan,0.309108,1.01709,,,19,689,,
1,43537871,3-Cl-AHPC,SUSD3,All,pancan,0.087019,1.71134,,,22,686,,
2,43537872,3-Cl-AHPC,TBC1D17,All,pancan,0.443573,-0.766173,,,36,672,,
3,43537873,3-Cl-AHPC,DYM,All,pancan,0.65196,0.451041,,,29,679,,
4,43537874,3-Cl-AHPC,FAM184A,All,pancan,0.510741,-0.657685,,,33,675,,
5,43537875,3-Cl-AHPC,MED16,All,pancan,0.223413,-1.2175,,,47,661,,
6,43537876,3-Cl-AHPC,DCT,All,pancan,0.643039,0.463454,,,25,683,,
7,43537877,3-Cl-AHPC,TAPT1,All,pancan,0.442245,-0.768408,,,28,680,,
8,43537878,3-Cl-AHPC,ATP1A1,All,pancan,0.112567,-1.58676,,,19,689,,
9,43537879,3-Cl-AHPC,ATXN7L2,All,pancan,0.008319,-2.63884,,,26,682,,
10,43537880,3-Cl-AHPC,MINPP1,All,pancan,0.211304,1.24999,,,16,692,,
11,43537881,3-Cl-AHPC,COL23A1,All,pancan,0.277608,-1.08571,,,25,683,,
12,43537882,3-Cl-AHPC,TGFBR2,All,pancan,0.15382,1.42617,,,53,655,,
13,43537883,3-Cl-AHPC,PKMYT1,All,pancan,0.970201,0.0373557,,,18,690,,
14,43537884,3-Cl-AHPC,CLDN1,All,pancan,0.51166,-0.656256,,,12,696,,
15,43537885,3-Cl-AHPC,RETREG1,All,pancan,0.696223,-0.390423,,,30,678,,
16,43537886,3-Cl-AHPC,FGF6,All,pancan,0.0193757,-2.33822,,,28,680,,
17,43537887,3-Cl-AHPC,GCC2,All,pancan,0.927162,-0.0914161,,,76,632,,
18,43537888,3-Cl-AHPC,GTSF1L,All,pancan,0.728644,0.34693,,,11,697,,
19,43537889,3-Cl-AHPC,CTDSPL2,All,pancan,0.540267,-0.612409,,,14,694,,
20,43537890,3-Cl-AHPC,CPQ,All,pancan,0.55026,-0.597371,,,37,671,,
