,gene,standard_drug_name,dataset,cancer_type,effect size,pvalue,n_mut,n_wt
0,AACS,narciclasine,All,pancan,-1.14136,0.25372,24,666
1,AACS,CID-5951923,All,pancan,-0.796983,0.425461,21,672
2,AACS,TTNBP,All,pancan,0.0682426,0.945592,10,107
3,AACS,BRD-K24690302,All,pancan,0.00640912,0.994886,22,680
4,AACS,BRD-K27224038,All,pancan,-0.19495,0.845432,11,195
5,AACS,BX795,All,pancan,1.12194,0.261887,36,927
6,AACS,ML239,All,pancan,1.1676,0.242967,21,676
7,AACS,Fulvestrant,All,pancan,0.62755,0.530299,39,964
8,AACS,Wnt-C59,All,pancan,-0.991887,0.321253,36,913
9,AACS,manumycin A,All,pancan,-0.633539,0.526382,24,693
10,AACS,BPTES,All,pancan,0.408735,0.682734,34,894
11,AACS,WH-4-023,All,pancan,2.71353,0.00665711,16,380
12,AACS,Alpelisib,All,pancan,-1.91989,0.0548724,34,928
13,AACS,Z-LLNle-CHO,All,pancan,-0.584178,0.559101,16,380
14,AACS,Compound 12,All,pancan,0.365969,0.714388,11,201
15,AACS,GSK429286A,All,pancan,-1.80941,0.0703866,35,881
16,AACS,XMD8-92,All,pancan,0.438245,0.661208,18,475
17,AACS,FTI-277,All,pancan,-0.229283,0.818649,32,849
18,AACS,BRD-A02303741,All,pancan,-1.08048,0.27993,21,631
19,AACS,nakiterpiosin,All,pancan,-0.683857,0.494065,24,699
20,AACS,BRD-K49290616,All,pancan,-0.498891,0.617856,10,190
21,AACS,apicidin,All,pancan,0.471521,0.637269,22,695
22,AACS,ICL1100013,All,pancan,-0.939286,0.347584,33,881
23,AACS,losartan,All,pancan,1.88032,0.0600639,11,201
24,AACS,Tivozanib,All,pancan,0.218559,0.826993,41,1077
25,AACS,CPI-613,All,pancan,0.170051,0.86497,35,874
26,AACS,Oxaliplatin,All,pancan,-0.629079,0.529297,37,996
27,AACS,CX-5461,All,pancan,-0.795599,0.426265,34,875
28,AACS,valdecoxib,All,pancan,0.815316,0.414891,22,687
29,AACS,FMK,All,pancan,-2.64032,0.00828287,29,756
30,AACS,PYR-41,All,pancan,-0.944066,0.345136,20,655
31,AACS,selumetinib:piperlongumine (8:1 mol/mol),All,pancan,-1.12611,0.26012,22,651
32,AACS,Entospletinib,All,pancan,-1.28654,0.198255,28,696
33,AACS,CAY10576,All,pancan,-0.121713,0.903126,20,626
34,AACS,THZ-2-49,All,pancan,-0.482935,0.629142,34,877
35,AACS,TPCA-1,All,pancan,0.0326831,0.973927,40,1069
36,AACS,ABT-751,All,pancan,-0.941567,0.346414,11,186
37,AACS,BMS-641988,All,pancan,-0.714271,0.47506,11,201
38,AACS,PD0325901,All,pancan,-1.32014,0.186788,37,1004
39,AACS,GSK343,All,pancan,-0.0497659,0.960309,28,696
40,AACS,TWS119,All,pancan,0.113625,0.909535,35,884
41,AACS,LRRK2-IN-1,All,pancan,-0.038371,0.969392,11,484
42,AACS,PFI3,All,pancan,-1.01744,0.308946,28,696
43,AACS,Eg5_9814,All,pancan,-1.71877,0.0856569,28,696
44,AACS,nintedanib,All,pancan,0.958192,0.337966,20,646
45,AACS,KIN001-270,All,pancan,-0.636384,0.524526,34,877
46,AACS,"MetAP2 Inhibitor, A832234",All,pancan,-1.06758,0.28571,35,874
